road_name_in_googleMap,Accident_date,accident_time,vehicle_type,road_type,seviarity_of_accident,near_by_hospital,near_by_school,near_by_chrch,No_of_bildings_near_300m_of_accident_area,death
Satara Road,2022-01-31 09:03:43.253438,16:44,Bus,Residential,Minor,1,0,0,41,0
Shivaji Road,2022-10-30 09:03:43.253438,07:29,Car,Residential,Fatal,0,0,1,23,0
Kothrud Road,2023-07-03 09:03:43.253438,10:39,Bus,Rural,Fatal,1,1,0,23,0
MG Road,2020-07-08 09:03:43.253438,23:31,Truck,Highway,Major,1,1,1,21,1
Baner Road,2024-04-20 09:03:43.253438,07:31,Auto-rickshaw,Residential,Fatal,0,0,0,10,1
Baner Road,2021-12-17 09:03:43.253438,12:12,Bike,Main Road,Minor,1,1,1,27,0
Shivaji Road,2021-11-14 09:03:43.253438,19:14,Pedestrian,Residential,Fatal,1,0,1,16,0
Paud Road,2023-04-11 09:03:43.253438,16:39,Car,Rural,Major,0,0,0,13,1
Kothrud Road,2022-04-22 09:03:43.253438,21:54,Truck,Main Road,Fatal,1,1,0,13,0
Aundh Road,2023-09-17 09:03:43.253438,11:10,Bus,Rural,Minor,1,1,0,36,0
Shivaji Road,2023-07-14 09:03:43.253438,14:23,Auto-rickshaw,Main Road,Fatal,0,0,1,21,1
Paud Road,2020-02-28 09:03:43.253438,18:55,Auto-rickshaw,Highway,Fatal,0,1,1,43,1
Kothrud Road,2021-10-14 09:03:43.253438,08:54,Car,Residential,Fatal,1,1,0,10,0
MG Road,2021-02-05 09:03:43.253438,00:59,Bike,Residential,Fatal,1,0,0,32,1
Karve Road,2023-01-17 09:03:43.253438,05:48,Truck,Main Road,Major,1,1,1,8,1
Aundh Road,2024-01-10 09:03:43.253438,12:29,Bicycle,Rural,Minor,1,0,0,10,1
Satara Road,2019-12-08 09:03:43.253438,21:52,Bike,Rural,Major,1,0,0,39,1
Baner Road,2022-06-29 09:03:43.253438,19:38,Pedestrian,Main Road,Fatal,0,1,0,45,1
FC Road,2020-05-29 09:03:43.253438,19:23,Pedestrian,Residential,Minor,0,1,1,19,1
MG Road,2022-09-21 09:03:43.253438,22:53,Car,Main Road,Major,0,1,0,49,0
Baner Road,2020-04-10 09:03:43.253438,23:49,Car,Highway,Fatal,0,0,1,15,0
Sinhagad Road,2022-02-25 09:03:43.253438,16:06,Truck,Residential,Major,1,1,1,25,1
FC Road,2024-08-17 09:03:43.253438,11:30,Auto-rickshaw,Rural,Fatal,1,1,0,21,1
Baner Road,2019-11-05 09:03:43.253438,22:21,Auto-rickshaw,Highway,Minor,1,1,0,6,1
Paud Road,2023-05-10 09:03:43.253438,00:06,Truck,Highway,Fatal,1,0,0,29,0
Aundh Road,2020-01-24 09:03:43.253438,04:52,Bike,Residential,Major,1,1,0,42,1
Baner Road,2022-09-28 09:03:43.253438,14:35,Pedestrian,Rural,Fatal,0,1,1,13,0
Satara Road,2020-06-15 09:03:43.253438,16:53,Truck,Residential,Minor,0,0,1,36,1
Karve Road,2024-01-02 09:03:43.253438,13:47,Bicycle,Main Road,Major,0,0,0,49,0
Paud Road,2019-11-25 09:03:43.253438,14:30,Auto-rickshaw,Highway,Major,1,0,1,9,0
MG Road,2020-04-02 09:03:43.253438,22:07,Bike,Residential,Major,1,0,0,39,0
MG Road,2024-02-20 09:03:43.253438,11:37,Bus,Residential,Major,0,1,1,15,0
MG Road,2021-04-04 09:03:43.253438,17:32,Bike,Highway,Major,0,0,1,35,1
MG Road,2022-07-18 09:03:43.253438,09:04,Pedestrian,Main Road,Minor,1,1,1,18,1
Karve Road,2024-04-22 09:03:43.253438,04:07,Auto-rickshaw,Rural,Major,1,1,1,37,0
Baner Road,2023-12-23 09:03:43.253438,07:05,Car,Residential,Fatal,1,0,0,10,0
Kothrud Road,2022-04-11 09:03:43.253438,03:59,Bike,Highway,Major,1,1,0,7,1
Baner Road,2020-11-19 09:03:43.253438,23:29,Pedestrian,Highway,Major,0,0,0,20,1
Sinhagad Road,2023-11-23 09:03:43.253438,06:10,Bike,Main Road,Fatal,1,1,1,29,0
Aundh Road,2024-05-08 09:03:43.253438,15:41,Car,Residential,Minor,1,1,1,47,1
FC Road,2022-02-23 09:03:43.253438,10:56,Auto-rickshaw,Highway,Major,0,0,0,29,1
Kothrud Road,2023-12-06 09:03:43.253438,15:30,Bus,Main Road,Minor,0,0,1,8,1
Kothrud Road,2021-09-21 09:03:43.253438,09:37,Bus,Residential,Fatal,0,1,0,41,0
Baner Road,2024-01-03 09:03:43.253438,09:45,Pedestrian,Rural,Minor,1,0,1,26,1
Kothrud Road,2020-01-24 09:03:43.253438,12:24,Truck,Rural,Fatal,1,1,1,20,1
Shivaji Road,2021-05-17 09:03:43.253438,17:27,Bus,Residential,Minor,0,0,0,33,1
Shivaji Road,2024-06-16 09:03:43.253438,19:15,Bus,Residential,Minor,0,0,1,34,1
Sinhagad Road,2024-03-06 09:03:43.253438,08:32,Bike,Residential,Major,1,1,0,31,1
FC Road,2021-01-14 09:03:43.253438,19:03,Truck,Residential,Fatal,0,0,1,39,0
Satara Road,2021-06-10 09:03:43.253438,01:00,Bus,Main Road,Fatal,0,1,0,39,0
Karve Road,2023-01-02 09:03:43.253438,13:59,Bike,Highway,Major,0,0,1,14,1
Baner Road,2024-03-02 09:03:43.253438,01:24,Truck,Main Road,Minor,0,1,1,41,0
Karve Road,2021-05-07 09:03:43.253438,17:15,Bike,Highway,Minor,0,1,0,49,0
Satara Road,2022-10-26 09:03:43.253438,18:31,Car,Main Road,Minor,0,1,0,28,1
Baner Road,2019-11-07 09:03:43.253438,06:08,Auto-rickshaw,Residential,Minor,0,0,1,20,0
Baner Road,2021-02-27 09:03:43.253438,22:18,Auto-rickshaw,Main Road,Minor,0,1,0,12,0
FC Road,2021-08-14 09:03:43.253438,15:20,Auto-rickshaw,Highway,Fatal,0,0,0,18,0
Karve Road,2023-04-23 09:03:43.253438,10:55,Bus,Rural,Minor,0,1,0,34,0
Shivaji Road,2024-05-12 09:03:43.253438,12:52,Auto-rickshaw,Residential,Major,0,1,0,8,1
MG Road,2021-03-30 09:03:43.253438,05:07,Auto-rickshaw,Rural,Major,1,0,0,3,1
Karve Road,2021-05-31 09:03:43.253438,09:10,Truck,Highway,Minor,1,0,0,34,0
Aundh Road,2023-11-20 09:03:43.253438,05:27,Pedestrian,Residential,Minor,0,0,0,8,1
Aundh Road,2023-05-11 09:03:43.253438,11:35,Truck,Residential,Major,0,1,1,9,0
Baner Road,2023-07-12 09:03:43.253438,13:33,Bicycle,Residential,Fatal,1,1,0,1,0
MG Road,2020-04-17 09:03:43.253438,00:42,Truck,Rural,Major,0,1,1,10,0
Paud Road,2021-05-02 09:03:43.253438,09:14,Bus,Rural,Major,1,0,0,38,1
Satara Road,2023-04-08 09:03:43.253438,04:42,Pedestrian,Highway,Fatal,1,1,0,42,1
Sinhagad Road,2021-10-20 09:03:43.253438,04:54,Bicycle,Highway,Minor,1,1,1,46,1
MG Road,2022-03-11 09:03:43.253438,17:51,Bicycle,Main Road,Major,1,0,1,24,1
Sinhagad Road,2022-10-11 09:03:43.253438,15:08,Auto-rickshaw,Highway,Fatal,0,1,0,12,0
Karve Road,2022-11-02 09:03:43.253438,17:21,Bus,Main Road,Major,0,0,0,27,0
Karve Road,2020-11-05 09:03:43.253438,23:33,Pedestrian,Rural,Fatal,0,0,0,41,1
Sinhagad Road,2024-01-11 09:03:43.253438,03:23,Pedestrian,Highway,Major,1,0,0,14,0
Satara Road,2020-07-31 09:03:43.253438,14:52,Bus,Residential,Major,0,0,0,20,1
MG Road,2022-07-06 09:03:43.253438,02:56,Bus,Main Road,Minor,1,0,1,10,0
Paud Road,2024-02-18 09:03:43.253438,13:06,Bus,Main Road,Major,1,0,0,40,1
Baner Road,2023-09-10 09:03:43.253438,02:14,Bus,Main Road,Minor,0,0,0,47,1
FC Road,2024-05-16 09:03:43.253438,16:15,Bus,Rural,Major,1,0,1,42,0
Karve Road,2020-02-11 09:03:43.253438,11:19,Bicycle,Main Road,Fatal,1,1,1,17,0
Aundh Road,2022-06-23 09:03:43.253438,01:44,Auto-rickshaw,Highway,Minor,1,0,0,22,1
Satara Road,2023-09-16 09:03:43.253438,01:48,Truck,Main Road,Minor,1,0,1,37,0
FC Road,2022-10-12 09:03:43.253438,10:58,Bicycle,Residential,Fatal,0,0,1,22,1
Paud Road,2023-01-24 09:03:43.253438,04:06,Bike,Rural,Minor,0,1,0,38,1
Kothrud Road,2021-10-22 09:03:43.253438,00:02,Pedestrian,Rural,Fatal,1,1,1,35,0
Baner Road,2020-07-29 09:03:43.253438,17:48,Bike,Highway,Major,0,1,0,26,0
Karve Road,2022-05-26 09:03:43.253438,01:49,Bike,Residential,Minor,1,0,1,11,0
Baner Road,2022-09-11 09:03:43.253438,16:33,Pedestrian,Rural,Fatal,0,1,0,4,0
FC Road,2023-05-26 09:03:43.253438,23:44,Car,Rural,Major,0,0,0,47,1
Baner Road,2024-02-04 09:03:43.253438,22:14,Truck,Rural,Major,1,1,1,43,1
Kothrud Road,2023-10-20 09:03:43.253438,16:31,Auto-rickshaw,Highway,Minor,1,1,1,31,1
FC Road,2022-03-02 09:03:43.253438,16:41,Bus,Highway,Major,1,0,0,25,1
Karve Road,2024-04-18 09:03:43.253438,07:32,Bike,Rural,Fatal,0,0,0,0,0
MG Road,2021-08-14 09:03:43.253438,15:50,Pedestrian,Main Road,Minor,1,1,1,36,1
Aundh Road,2024-01-24 09:03:43.253438,22:28,Truck,Rural,Minor,0,0,1,34,0
FC Road,2022-04-04 09:03:43.253438,22:08,Auto-rickshaw,Residential,Minor,1,0,0,30,0
Shivaji Road,2019-12-11 09:03:43.253438,23:11,Bike,Residential,Fatal,1,0,0,29,1
Kothrud Road,2024-01-05 09:03:43.253438,19:17,Truck,Rural,Minor,0,0,1,20,1
FC Road,2019-10-15 09:03:43.253438,20:05,Pedestrian,Rural,Major,0,0,1,49,1
FC Road,2024-06-08 09:03:43.253438,09:47,Bicycle,Rural,Major,1,0,1,21,0
Shivaji Road,2023-01-14 09:03:43.253438,10:52,Auto-rickshaw,Residential,Major,1,1,1,45,0
Karve Road,2020-10-30 09:03:43.253438,19:53,Pedestrian,Highway,Major,1,0,1,0,1
FC Road,2021-05-14 09:03:43.253438,02:31,Bicycle,Main Road,Fatal,0,1,0,24,1
Aundh Road,2021-11-17 09:03:43.253438,11:03,Truck,Highway,Fatal,1,1,0,15,0
Baner Road,2024-04-16 09:03:43.253438,13:50,Bus,Main Road,Fatal,0,1,1,39,1
Karve Road,2023-08-24 09:03:43.253438,08:10,Truck,Residential,Fatal,0,1,1,34,0
Aundh Road,2023-07-15 09:03:43.253438,10:47,Truck,Residential,Minor,0,0,0,15,0
Karve Road,2022-01-02 09:03:43.253438,16:52,Car,Residential,Minor,1,0,1,3,0
Aundh Road,2019-09-24 09:03:43.253438,12:16,Bus,Residential,Major,1,0,0,28,1
Kothrud Road,2023-09-23 09:03:43.253438,04:37,Bicycle,Highway,Minor,1,1,0,34,0
Aundh Road,2021-01-20 09:03:43.253438,04:07,Truck,Main Road,Fatal,0,0,1,2,1
Sinhagad Road,2019-12-21 09:03:43.253438,18:29,Bus,Residential,Minor,0,0,0,14,1
Aundh Road,2019-09-27 09:03:43.253438,08:39,Truck,Main Road,Fatal,0,1,0,43,1
MG Road,2023-06-27 09:03:43.253438,16:56,Pedestrian,Main Road,Fatal,0,0,1,31,1
MG Road,2024-08-17 09:03:43.253438,01:58,Bus,Rural,Fatal,0,1,0,46,0
Satara Road,2020-05-02 09:03:43.253438,03:13,Auto-rickshaw,Highway,Major,0,1,1,35,1
Sinhagad Road,2023-12-06 09:03:43.253438,10:27,Pedestrian,Highway,Minor,0,1,1,25,1
Sinhagad Road,2021-10-27 09:03:43.253438,23:28,Bike,Highway,Fatal,1,0,0,41,0
Baner Road,2023-04-03 09:03:43.253438,12:45,Car,Highway,Major,1,1,0,13,1
Sinhagad Road,2021-08-05 09:03:43.253438,03:41,Bike,Main Road,Major,0,1,1,48,0
Baner Road,2023-01-21 09:03:43.253438,14:35,Truck,Residential,Minor,1,0,0,20,1
Satara Road,2024-07-25 09:03:43.253438,12:43,Truck,Residential,Minor,1,0,0,24,1
Satara Road,2022-01-17 09:03:43.253438,18:04,Auto-rickshaw,Main Road,Major,1,0,1,34,0
Kothrud Road,2023-07-11 09:03:43.253438,14:09,Truck,Residential,Minor,1,0,1,39,0
MG Road,2022-06-15 09:03:43.253438,01:31,Bicycle,Rural,Fatal,0,1,0,33,0
Aundh Road,2022-06-28 09:03:43.253438,12:26,Bus,Main Road,Fatal,0,1,0,12,0
Aundh Road,2020-11-28 09:03:43.253438,23:13,Bicycle,Main Road,Major,1,1,0,18,1
Shivaji Road,2022-02-14 09:03:43.253438,18:42,Bike,Rural,Fatal,1,1,1,42,1
Shivaji Road,2020-06-03 09:03:43.253438,08:40,Pedestrian,Rural,Fatal,0,0,0,1,0
Paud Road,2021-01-30 09:03:43.253438,19:32,Truck,Residential,Fatal,0,1,1,46,1
Karve Road,2022-04-02 09:03:43.253438,11:33,Auto-rickshaw,Highway,Major,1,1,0,12,1
Kothrud Road,2021-08-30 09:03:43.253438,18:04,Car,Highway,Major,1,1,0,14,1
Paud Road,2022-10-20 09:03:43.253438,01:07,Bicycle,Rural,Major,0,1,1,46,1
Paud Road,2022-03-23 09:03:43.253438,18:34,Bike,Residential,Minor,1,1,1,34,1
FC Road,2020-01-17 09:03:43.253438,20:26,Auto-rickshaw,Highway,Fatal,0,1,0,37,0
FC Road,2019-12-02 09:03:43.253438,02:53,Auto-rickshaw,Rural,Minor,0,1,0,35,1
Paud Road,2023-12-02 09:03:43.253438,01:54,Bike,Residential,Minor,1,1,0,34,0
Sinhagad Road,2020-02-08 09:03:43.253438,10:20,Auto-rickshaw,Residential,Minor,1,1,0,31,1
Karve Road,2020-07-23 09:03:43.253438,14:15,Pedestrian,Residential,Fatal,0,1,0,38,0
Kothrud Road,2021-12-17 09:03:43.253438,15:34,Pedestrian,Highway,Fatal,0,1,1,19,1
Paud Road,2021-07-07 09:03:43.253438,10:22,Car,Main Road,Major,1,0,1,33,1
Aundh Road,2022-12-23 09:03:43.253438,22:25,Car,Rural,Major,1,0,1,46,0
Karve Road,2024-05-20 09:03:43.253438,00:27,Truck,Rural,Minor,0,1,1,30,1
FC Road,2021-08-21 09:03:43.253438,22:47,Bus,Main Road,Minor,0,1,1,48,1
Aundh Road,2022-05-18 09:03:43.253438,11:03,Truck,Highway,Fatal,1,1,1,14,0
FC Road,2022-09-07 09:03:43.253438,15:35,Bus,Highway,Minor,1,0,0,48,1
FC Road,2020-04-10 09:03:43.253438,03:25,Bike,Rural,Minor,1,0,1,7,0
Karve Road,2020-01-01 09:03:43.253438,20:37,Auto-rickshaw,Main Road,Major,0,1,0,37,1
FC Road,2024-05-01 09:03:43.253438,19:55,Truck,Main Road,Major,1,1,1,1,0
Satara Road,2021-02-16 09:03:43.253438,06:58,Auto-rickshaw,Main Road,Major,0,0,1,42,0
MG Road,2023-12-08 09:03:43.253438,07:27,Truck,Main Road,Fatal,0,0,1,12,1
Satara Road,2024-01-28 09:03:43.253438,13:32,Truck,Residential,Minor,0,1,1,21,1
MG Road,2022-09-23 09:03:43.253438,18:35,Car,Residential,Fatal,0,1,0,6,0
Shivaji Road,2024-06-01 09:03:43.253438,18:38,Bus,Rural,Major,1,1,0,12,0
Shivaji Road,2024-02-17 09:03:43.253438,18:46,Bike,Main Road,Minor,0,0,0,34,0
FC Road,2023-07-14 09:03:43.253438,02:18,Pedestrian,Residential,Major,1,1,0,36,0
Kothrud Road,2023-12-16 09:03:43.253438,23:34,Auto-rickshaw,Main Road,Minor,1,0,1,15,0
Kothrud Road,2021-12-16 09:03:43.253438,11:53,Truck,Highway,Major,1,1,1,4,1
MG Road,2022-08-02 09:03:43.253438,06:48,Auto-rickshaw,Rural,Fatal,0,1,1,10,1
Aundh Road,2024-01-03 09:03:43.253438,19:46,Car,Residential,Fatal,1,0,1,2,1
Karve Road,2023-10-31 09:03:43.253438,15:49,Pedestrian,Residential,Minor,0,1,1,22,1
FC Road,2023-01-23 09:03:43.253438,19:00,Bike,Highway,Major,1,0,1,27,1
Karve Road,2020-06-18 09:03:43.253438,00:40,Bus,Rural,Major,0,0,1,16,0
Satara Road,2022-07-02 09:03:43.253438,11:06,Bus,Main Road,Major,1,0,1,28,0
Kothrud Road,2023-08-04 09:03:43.253438,22:38,Truck,Residential,Fatal,0,0,0,9,0
Sinhagad Road,2020-11-02 09:03:43.253438,23:36,Pedestrian,Residential,Minor,1,0,0,46,0
Satara Road,2019-11-25 09:03:43.253438,03:43,Bike,Residential,Minor,1,1,0,24,0
Satara Road,2022-12-29 09:03:43.253438,14:33,Bus,Main Road,Major,1,1,1,46,1
MG Road,2022-02-02 09:03:43.253438,22:14,Bike,Residential,Major,0,1,0,42,1
Baner Road,2022-10-23 09:03:43.253438,05:46,Auto-rickshaw,Highway,Major,1,1,1,32,1
Satara Road,2023-04-19 09:03:43.253438,16:42,Car,Rural,Minor,0,1,1,37,1
FC Road,2020-08-03 09:03:43.253438,02:36,Bike,Residential,Minor,0,1,0,26,0
Paud Road,2020-11-21 09:03:43.253438,23:03,Bike,Rural,Fatal,0,0,1,18,1
Paud Road,2020-09-16 09:03:43.253438,19:39,Pedestrian,Highway,Minor,1,1,1,4,1
FC Road,2019-09-23 09:03:43.253438,13:42,Bus,Rural,Minor,0,1,0,13,0
Baner Road,2023-12-17 09:03:43.253438,19:56,Bicycle,Highway,Fatal,1,1,0,21,1
Baner Road,2022-07-12 09:03:43.253438,11:22,Truck,Rural,Minor,0,0,1,24,0
MG Road,2021-01-03 09:03:43.253438,05:43,Pedestrian,Main Road,Minor,1,0,1,17,1
Kothrud Road,2021-06-14 09:03:43.253438,09:00,Truck,Main Road,Major,0,0,1,44,1
Karve Road,2021-09-07 09:03:43.253438,04:24,Bicycle,Rural,Fatal,1,1,1,34,0
Baner Road,2021-09-03 09:03:43.253438,13:49,Bicycle,Residential,Major,0,0,0,45,0
Sinhagad Road,2022-05-01 09:03:43.253438,08:16,Pedestrian,Rural,Fatal,1,0,0,9,1
MG Road,2022-03-24 09:03:43.253438,04:05,Bicycle,Highway,Fatal,1,1,0,41,0
Shivaji Road,2020-10-18 09:03:43.253438,17:48,Auto-rickshaw,Rural,Minor,1,1,0,7,1
Aundh Road,2019-12-16 09:03:43.253438,14:09,Bus,Highway,Major,1,0,0,42,1
Shivaji Road,2022-05-04 09:03:43.253438,12:12,Bus,Main Road,Fatal,1,1,0,34,0
MG Road,2023-08-31 09:03:43.253438,10:40,Car,Residential,Fatal,0,0,0,9,0
Satara Road,2022-03-03 09:03:43.253438,13:16,Truck,Residential,Fatal,1,0,1,20,0
Karve Road,2024-03-10 09:03:43.253438,21:05,Bus,Highway,Fatal,0,0,1,45,0
Aundh Road,2022-04-19 09:03:43.253438,06:05,Bicycle,Residential,Minor,1,0,0,21,0
Shivaji Road,2020-04-18 09:03:43.253438,14:39,Auto-rickshaw,Rural,Minor,0,1,0,47,0
Aundh Road,2021-12-25 09:03:43.253438,05:30,Pedestrian,Residential,Fatal,1,1,1,20,1
Sinhagad Road,2022-10-13 09:03:43.253438,01:42,Car,Rural,Major,0,1,1,34,0
Sinhagad Road,2019-12-17 09:03:43.253438,05:06,Truck,Highway,Major,0,0,0,3,1
Sinhagad Road,2023-06-26 09:03:43.253438,01:08,Truck,Rural,Fatal,0,1,1,23,0
MG Road,2024-02-14 09:03:43.253438,19:17,Truck,Main Road,Fatal,1,0,0,35,0
Karve Road,2023-02-10 09:03:43.253438,21:28,Car,Rural,Minor,0,1,1,43,0
MG Road,2021-08-09 09:03:43.253438,15:56,Pedestrian,Residential,Major,0,1,1,9,0
Paud Road,2023-05-15 09:03:43.253438,02:31,Pedestrian,Main Road,Major,0,0,1,33,0
Satara Road,2021-04-04 09:03:43.253438,19:20,Auto-rickshaw,Residential,Major,1,1,1,19,0
Satara Road,2019-11-30 09:03:43.253438,12:25,Pedestrian,Main Road,Minor,1,0,0,23,0
Sinhagad Road,2023-11-19 09:03:43.253438,10:12,Auto-rickshaw,Residential,Fatal,1,0,0,14,0
Paud Road,2020-12-30 09:03:43.253438,10:28,Bus,Residential,Minor,1,0,0,25,1
Baner Road,2022-01-03 09:03:43.253438,14:28,Bus,Residential,Fatal,1,1,1,32,1
Baner Road,2020-01-12 09:03:43.253438,11:36,Truck,Residential,Major,0,1,1,37,0
Sinhagad Road,2023-05-29 09:03:43.253438,00:02,Bicycle,Rural,Fatal,0,1,0,23,1
Shivaji Road,2022-03-10 09:03:43.253438,09:30,Bike,Rural,Major,1,1,0,36,1
MG Road,2024-02-14 09:03:43.253438,21:38,Bus,Residential,Fatal,1,0,1,9,0
Sinhagad Road,2022-07-06 09:03:43.253438,02:15,Auto-rickshaw,Highway,Fatal,1,1,0,18,0
Kothrud Road,2023-08-22 09:03:43.253438,03:39,Truck,Residential,Fatal,0,0,1,45,1
Aundh Road,2023-11-16 09:03:43.253438,07:17,Auto-rickshaw,Highway,Minor,0,1,1,43,1
Satara Road,2023-09-18 09:03:43.253438,02:40,Truck,Residential,Major,0,1,1,31,1
Baner Road,2023-09-30 09:03:43.253438,02:05,Car,Main Road,Minor,1,0,1,22,1
FC Road,2020-03-06 09:03:43.253438,06:37,Bus,Rural,Fatal,1,1,1,14,0
Baner Road,2022-07-11 09:03:43.253438,06:33,Bicycle,Main Road,Major,1,1,1,36,1
Satara Road,2022-08-31 09:03:43.253438,20:01,Car,Main Road,Major,1,0,1,10,1
Aundh Road,2020-12-28 09:03:43.253438,00:42,Bus,Rural,Minor,1,0,1,36,0
Satara Road,2022-07-22 09:03:43.253438,18:58,Bicycle,Rural,Major,1,1,1,27,1
FC Road,2024-08-11 09:03:43.253438,08:55,Bicycle,Highway,Major,0,1,1,48,0
Sinhagad Road,2022-05-23 09:03:43.253438,20:23,Bicycle,Highway,Fatal,0,0,1,23,0
Paud Road,2022-08-29 09:03:43.253438,04:02,Auto-rickshaw,Main Road,Fatal,0,0,0,25,1
FC Road,2023-04-16 09:03:43.253438,18:39,Auto-rickshaw,Highway,Fatal,0,1,0,41,0
Satara Road,2019-11-06 09:03:43.253438,15:36,Bike,Main Road,Minor,1,1,1,17,1
Satara Road,2022-08-24 09:03:43.253438,05:35,Auto-rickshaw,Residential,Minor,1,1,1,6,1
Kothrud Road,2020-07-30 09:03:43.253438,08:39,Truck,Residential,Fatal,0,0,1,43,1
Kothrud Road,2020-05-25 09:03:43.253438,13:28,Bike,Residential,Fatal,0,0,1,27,0
Karve Road,2020-10-08 09:03:43.253438,08:24,Truck,Rural,Fatal,1,0,0,23,1
Kothrud Road,2022-09-01 09:03:43.253438,06:43,Bike,Residential,Minor,0,0,0,38,0
MG Road,2023-06-07 09:03:43.253438,11:03,Truck,Highway,Fatal,0,0,0,38,0
Paud Road,2019-09-29 09:03:43.253438,06:10,Bike,Main Road,Major,0,0,0,13,0
Aundh Road,2023-03-28 09:03:43.253438,13:00,Bus,Highway,Minor,1,0,1,13,1
FC Road,2023-08-10 09:03:43.253438,07:18,Bicycle,Main Road,Fatal,0,1,0,17,1
Satara Road,2022-06-04 09:03:43.253438,13:01,Bus,Residential,Fatal,1,0,1,11,1
Karve Road,2022-11-25 09:03:43.253438,14:50,Bike,Rural,Fatal,1,0,0,7,1
Karve Road,2021-08-09 09:03:43.253438,02:25,Car,Main Road,Minor,1,1,0,21,1
Aundh Road,2023-03-07 09:03:43.253438,03:27,Pedestrian,Highway,Minor,0,0,1,16,0
Paud Road,2024-01-26 09:03:43.253438,10:52,Bike,Main Road,Major,0,1,0,35,1
FC Road,2022-03-12 09:03:43.253438,11:47,Car,Residential,Minor,0,1,1,13,1
Baner Road,2024-02-23 09:03:43.253438,12:00,Bicycle,Rural,Minor,1,0,1,15,1
Kothrud Road,2023-07-19 09:03:43.253438,17:43,Truck,Highway,Fatal,0,1,0,35,1
Sinhagad Road,2024-02-02 09:03:43.253438,22:32,Bike,Highway,Major,0,0,0,28,1
Karve Road,2021-02-19 09:03:43.253438,07:21,Car,Main Road,Major,0,1,1,36,1
Kothrud Road,2019-09-15 09:03:43.253438,17:27,Bicycle,Residential,Major,1,1,1,25,1
Kothrud Road,2020-09-29 09:03:43.253438,10:25,Bike,Main Road,Fatal,1,1,0,12,0
MG Road,2024-03-10 09:03:43.253438,09:15,Bus,Highway,Minor,1,0,0,49,0
Paud Road,2024-07-03 09:03:43.253438,14:45,Bus,Main Road,Major,0,1,1,9,1
Sinhagad Road,2021-06-23 09:03:43.253438,06:23,Bike,Main Road,Major,1,1,1,7,1
Baner Road,2020-10-11 09:03:43.253438,11:01,Bike,Residential,Major,0,0,0,49,1
Satara Road,2019-11-17 09:03:43.253438,20:54,Auto-rickshaw,Main Road,Major,0,0,0,3,0
MG Road,2023-01-19 09:03:43.253438,12:29,Bicycle,Rural,Fatal,1,1,1,44,1
Kothrud Road,2022-05-27 09:03:43.253438,06:08,Pedestrian,Residential,Minor,1,0,0,11,0
Kothrud Road,2020-02-05 09:03:43.253438,08:02,Bus,Main Road,Major,0,0,1,5,1
Shivaji Road,2022-11-17 09:03:43.253438,09:27,Truck,Residential,Minor,1,1,1,3,1
Sinhagad Road,2024-04-15 09:03:43.253438,06:34,Bike,Highway,Minor,0,0,1,31,0
Sinhagad Road,2023-10-06 09:03:43.253438,11:57,Auto-rickshaw,Residential,Fatal,0,1,1,42,0
Shivaji Road,2023-12-19 09:03:43.253438,10:16,Pedestrian,Residential,Fatal,1,1,0,39,0
Sinhagad Road,2023-09-14 09:03:43.253438,18:57,Bicycle,Rural,Major,0,0,0,10,1
Kothrud Road,2023-01-06 09:03:43.253438,04:20,Bike,Rural,Major,0,1,0,1,0
Karve Road,2024-01-20 09:03:43.253438,23:15,Bus,Main Road,Major,1,0,0,37,1
FC Road,2023-10-24 09:03:43.253438,00:42,Car,Rural,Fatal,1,1,1,6,1
Kothrud Road,2020-04-16 09:03:43.253438,14:15,Bicycle,Main Road,Fatal,1,0,0,27,1
MG Road,2023-04-25 09:03:43.253438,09:17,Car,Highway,Minor,1,0,1,33,0
Paud Road,2024-03-11 09:03:43.253438,10:36,Bus,Rural,Minor,1,1,1,40,1
Shivaji Road,2020-06-03 09:03:43.253438,04:29,Truck,Residential,Minor,1,0,0,30,0
Baner Road,2023-11-09 09:03:43.253438,17:33,Bicycle,Highway,Fatal,0,1,0,19,0
Satara Road,2021-08-26 09:03:43.253438,16:49,Auto-rickshaw,Main Road,Fatal,1,0,0,39,0
Baner Road,2020-08-20 09:03:43.253438,12:55,Bike,Residential,Fatal,1,0,1,12,1
Kothrud Road,2023-09-29 09:03:43.253438,16:54,Bike,Rural,Fatal,0,0,0,29,0
MG Road,2023-04-23 09:03:43.253438,20:47,Pedestrian,Highway,Fatal,0,0,0,45,1
Kothrud Road,2019-10-31 09:03:43.253438,05:04,Bike,Main Road,Major,0,1,1,23,0
Paud Road,2020-08-30 09:03:43.253438,14:59,Auto-rickshaw,Main Road,Minor,1,1,1,14,0
Karve Road,2021-08-10 09:03:43.253438,20:09,Auto-rickshaw,Rural,Major,0,1,0,47,1
Satara Road,2024-03-08 09:03:43.253438,02:07,Bus,Rural,Minor,1,0,0,7,0
Paud Road,2024-01-26 09:03:43.253438,20:06,Auto-rickshaw,Highway,Major,1,0,0,9,0
Shivaji Road,2024-06-17 09:03:43.253438,02:21,Bike,Residential,Major,1,0,0,47,0
Shivaji Road,2021-10-29 09:03:43.253438,15:58,Bicycle,Highway,Fatal,1,1,0,15,1
Kothrud Road,2021-03-06 09:03:43.253438,07:08,Pedestrian,Main Road,Fatal,1,1,1,15,1
